date,kuching,bau,lundu,kota-samarahan,asajaya,simunjan,serian,tebedu,sri-aman,lubok-antu,betong,saratok,pusa,kabong,sarikei,meradong,julau,pakan,sibu,kanowit,selangau,mukah,dalat,matu,daro,tanjung-manis,bintulu,tatau,sebauh,kapit,belaga,song,bukit-mabong,miri,marudi,subis,beluru,telung-usan,limbang,lawas
7/5/2020,325,5,0,98,3,7,17,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
8/5/2020,326,5,1,98,3,7,17,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
9/5/2020,326,5,1,98,3,7,17,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
10/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
11/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
12/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
13/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,6,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
14/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
15/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
16/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
17/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
18/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
19/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
20/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
21/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
22/5/2020,328,5,1,96,5,7,20,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,0,12,0,0,0,0,0,0,23,0,0,0,0,9,1
23/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
24/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
25/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
26/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
27/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
28/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
29/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
30/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
31/5/2020,332,5,1,97,5,7,21,3,3,0,16,0,0,0,6,0,0,0,7,0,0,1,0,1,0,1,13,0,0,0,0,0,0,23,0,0,0,0,9,1
